day,reserve_total_gib,primary_total_gib
1,1.5625,1.5625
2,3.125,3.125
3,4.6875,4.6875
4,6.25,6.25
5,7.8125,7.8125
6,9.375,9.375
7,17.4492,17.4492
8,19.0117,17.4492
9,20.5742,17.4492
10,22.1367,17.4492
11,23.6992,17.4492
12,25.2617,17.4492
13,26.8242,17.4492
14,41.3926,23.9434
15,42.9551,23.9434
16,44.5176,23.9434
17,46.0801,23.9434
18,47.6426,23.9434
19,49.2051,23.9434
20,50.7676,23.9434
21,71.8301,30.4375
22,73.3926,30.4375
23,74.9551,30.4375
24,76.5176,30.4375
25,78.0801,30.4375
26,79.6426,30.4375
27,81.2051,30.4375
28,108.7617,36.9316
